ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,score
300104.SZ,2019-1-25,2.7,2.71,2.61,2.63,2.69,-0.06,-2.2305,879258.77,232562.245,0.5
300104.SZ,2019-1-24,2.7,2.74,2.69,2.69,2.72,-0.03,-1.1029,695900.86,188601.275,0.5
300104.SZ,2019-1-23,2.74,2.77,2.7,2.72,2.75,-0.03,-1.0909,615920.02,167869.315,0.5
300104.SZ,2019-1-22,2.8,2.81,2.75,2.75,2.84,-0.09,-3.169,900023.28,250075.178,0.5
300104.SZ,2019-1-21,2.79,2.93,2.77,2.84,2.77,0.07,2.5271,1293821.49,366499.736,0.5
300104.SZ,2019-1-18,2.75,2.8,2.74,2.77,2.75,0.02,0.7273,757874.23,209975.343,0.5
300104.SZ,2019-1-17,2.8,2.82,2.72,2.75,2.83,-0.08,-2.8269,1086210.24,300134.522,0
300104.SZ,2019-1-16,2.86,2.94,2.82,2.83,2.86,-0.03,-1.049,1146465.06,329453.02,0.5
300104.SZ,2019-1-15,2.84,2.89,2.77,2.86,2.88,-0.02,-0.6944,1210734.9,342514.519,0.5
300104.SZ,2019-1-14,2.76,2.99,2.71,2.88,2.76,0.12,4.3478,2085107.83,596590.951,0
300104.SZ,2019-1-11,2.78,2.81,2.72,2.76,2.81,-0.05,-1.7794,1151340.5,317223.644,0.5
